chunk_id,doc_id,chunk_text,effective_date,exported_at
1,policy_refund_v4,"Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.",2026-02-01,2026-04-10T08:00:00
2,policy_refund_v4,"Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.",2026-02-01,2026-04-10T08:00:00
3,policy_refund_v4,"Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn (ghi chú: bản sync cũ policy-v3 — lỗi migration).",2026-02-01,2026-04-10T08:00:00
4,sla_p1_2026,"Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.",2026-02-01,2026-04-10T08:00:00
5,policy_refund_v4,"",,2026-04-10T08:00:00
6,it_helpdesk_faq,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.",2026-02-01,2026-04-10T08:00:00
7,hr_leave_policy,"Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).",2025-01-01,2026-04-10T08:00:00
8,hr_leave_policy,"Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.",2026-02-01,2026-04-10T08:00:00
9,legacy_catalog_xyz_zzz,"Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.",2026-02-01,2026-04-10T08:00:00
10,it_helpdesk_faq,"FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.",01/02/2026,2026-04-10T08:00:00
11,policy_refund_v4,"<p>  Hoàn tiền áp dụng trong 7 ngày làm việc kể từ lúc xác nhận đơn.  </p>

Yêu cầu phải có mã ticket hợp lệ.  ",2026-02-01,2026-04-15T08:00:00
12,policy_refund_v4,"Yêu cầu hoàn tiền được gửi trong vòng 7 ngày làm việc kể từ xác nhận đơn và phải kèm mã ticket.",2026-02-30,2026-04-15T08:10:00
13,hr_leave_policy,"Nhân viên sau probation có thể remote tối đa 2 ngày/tuần và phải onsite Thứ 3, Thứ 5.",2026-01-01,2025-12-31T23:59:59
